client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	language	split	char_per_sec	quality_tags
c9a74d097c00af7cfae17fbd69848bb9	42030	spontaneous-speech-tr-42030.mp3	5580	2096	Dünyanın bir yerinde yaşamak istesen neresi olurdu?	Nalçik'te yaşamak isterdim çünkü orası benim anavatanım.	1			Turkish		8.960573476702509	
108ffe9dbc0368264d5ebf59cc1e112b	37363	spontaneous-speech-tr-37363.mp3	31248	2006	Özel ve paralı okullar hakkında ne düşünüyorsun?	Bana göre özel ve paralı okullar olmamalı. Fırsat eşitliğini bozuyor, öncelikle. Eee, özel ve paralı okullarda altyapı daha iyi olabilir, ama aslında bütün okullar devlet tarafından finanse edilmeli, aynı sağlık gibi, ve bütün okullar eşit yüksek kalitede olmalı, çünkü eğitim en önemli şeyimiz.	0			Turkish		8.096518177163338	
4863fb7a6d5eddb80a6ffd8793a6d114	68089	spontaneous-speech-tr-68089.mp3	5148	2120	Avrupa Birliğinin tam üyesi olmak konusunda ne düşünüyorsun?		0			Turkish			
108ffe9dbc0368264d5ebf59cc1e112b	43607	spontaneous-speech-tr-43607.mp3	12456	2063	İş hayatında en çok değer verdiğin şey nedir?	Valla, en önemli şey iş etiği bence... <disfluency> Birçok insan çok katakulli işler yapıyor iş ortamlarında ve beni çıldırtıyorlar.	1			Turkish		9.152215799614645	
a1822427467f9464c3758a774916d97f	70954	spontaneous-speech-tr-70954.mp3	4428	2094	Bir gün boyunca tek bir aktivite yapabilecek olsan ne yapardın?		0			Turkish			
108ffe9dbc0368264d5ebf59cc1e112b	37369	spontaneous-speech-tr-37369.mp3	34920	2031	Her yerde kameralarla izleniyor olmamız sence nasıl bir şey?	Kameraların sürekli bizi izliyor olması kadar kötü bir şey yok. Ya güya güvenlikmiş, şuymuş buymuş, ya size ne benim nerde ne yaptığımdan! <disfluency> Bi- Bi şehirden diğerine gidiyorum, elli yerde kayıt altına alınıyorum. Tam bir polis devleti ve bu sadece bizim ülkemize ait değil, bütün dünyada geçerli. Güvenlik gerekçesi benim özel yaşamıma bu şekilde saldırı yapılması- nı açıklayamaz. Reddediyorum!	1			Turkish		9.965635738831615	
c9a74d097c00af7cfae17fbd69848bb9	42031	spontaneous-speech-tr-42031.mp3	14580	2072	En sevdiğin mevsim hangisi?	En sevdiğim mevsim ilkbahardır. İlkbahar, ee, doğanın uyanışını simgelediği için, ee, diğer mevsimlere göre bende ayrı bir yerdedir.	0			Turkish		7.887517146776406	
68ac6a9e4f1d8cc4bd74401bf9b5e5bb	42032	spontaneous-speech-tr-42032.mp3	18756	2103	Arkadaşlarınla vakit geçirdiğinde en çok ne yapmaktan hoşlanırsın?	Bu, hangi arkadaşım olduğuna göre değişir. Bazen dinlenmekten hoşlanan bir arkadaşım varsa film seyretmeyi tercih ederim. Gezmekten hoşlanan bir arkadaşım varsa onunla gezmeyi tercih ederim. Çok çeşitli şeylerden keyif alabiliyorum.	0	fifties	male_masculine	Turkish		10.823203241629345	
4863fb7a6d5eddb80a6ffd8793a6d114	68088	spontaneous-speech-tr-68088.mp3	4680	2113	Bir enstrüman çalmayı seçsen hangisini çalmak isterdin?		0			Turkish			
108ffe9dbc0368264d5ebf59cc1e112b	42029	spontaneous-speech-tr-42029.mp3	23220	2028	Bilgisayar oyunları çocuklar için yararlı mı sence?	Valla oyununa bağlı. Bazıları yararlı bazıları, açıkçası mesela savaş oyunları, ee, çocukların içindeki, ee, o, saldırgan şeyi yok ediyor da olabilir. O açıdan faydalı da olabilir ama, ee, daha yaratıcı bilgisayar oyunlarını kullanmalarını ben tercih ediyorum valla.	1			Turkish		9.905254091300604	
5ec32097f340e47e8fb62decb24956be	40827	spontaneous-speech-tr-40827.mp3	12780	2118	Yeniden dünyaya gelsen hangi mesleği seçerdin?	Abimin mimar olmasının da etkisi var sanırım, mimar olmak isterdim hep. Olmadı... Herhalde yeniden dünyaya gelsem, mimar olmak isterdim...	1			Turkish		9.389671361502346	
d199bcd086cfe8015c2b778b916aa409	42033	spontaneous-speech-tr-42033.mp3	8820	2014	Yazım kurallarına pek uymayan bir gençlik yetişiyor olması neden sence?		0			Turkish			
68ac6a9e4f1d8cc4bd74401bf9b5e5bb	40760	spontaneous-speech-tr-40760.mp3	4536	2081	Tek başına seyahat etmeyi sever misin? Neden?	Bazen severim, duruma göre değişir.	1			Turkish		6.8342151675485	
108ffe9dbc0368264d5ebf59cc1e112b	44283	spontaneous-speech-tr-44283.mp3	17460	1996	Dünya COVID-19 pandemisini sence doğru ele aldı mı?	Ya, aslında başlarda iyi gidiyor gibiydi ama ondan sonra cılkı çıktı ama, bunun da temel nedeni insan psikolojisi ve beyinlerini kullanamamaya ve öyle bir şey. İnsanlar beyinlerini kullanamadı. Yani ben, çok şaşırdım anlarsan, yani olacak şey değil!	0			Turkish		12.199312714776632	
108ffe9dbc0368264d5ebf59cc1e112b	37365	spontaneous-speech-tr-37365.mp3	34776	2110	Çocukken en çok ne olmayı hayal ederdin ve bu hayalin değişti mi?	Vallaha önce, atom mühendisi olmak isterdim. Benim çocukluğumda atom araştırmaları çok gündemdeydi. Hemen arkasından ee, aya gidiş söz konusu oldu ee, 1969'da, eee ve ben tabi astronot olmak istedim, ee bu kadar yıl sonra tabii bu hayeller değişti, öyle, geçmişte kalan güzel anılar haline geldi.	0			Turkish		7.246376811594202	
